id,Details,NDVI_TAMU,NDVI_WSU,Yield
204,HiRain_Hard_SP,0.966288254,0.711151793,114.912
205,HiRain_Hard_SP,0.966359531,0.713088744,102.72
206,HiRain_Hard_SP,0.958728536,0.667694817,108.384
207,HiRain_Hard_SP,0.957590666,0.662629772,99.648
208,HiRain_Hard_SP,0.960950445,0.686782766,99.968
209,HiRain_Hard_SP,0.959526352,0.668799077,95.744
210,HiRain_Hard_SP,0.958528919,0.671520609,83.84
211,HiRain_Hard_SP,0.89465257,0.573608078,71.04
212,HiRain_Hard_SP,0.955166837,0.679685598,90.816
213,HiRain_Hard_SP,0.953908772,0.666118084,93.696
214,HiRain_Hard_SP,0.957558249,0.672369003,102.432
215,HiRain_Hard_SP,0.961624829,0.701846057,99.232
216,HiRain_Hard_SP,0.967760134,0.731770421,101.248
217,HiRain_Hard_SP,0.969691985,0.741703286,103.424
218,HiRain_Hard_SP,0.960904257,0.683501264,114.784
219,HiRain_Hard_SP,0.964068132,0.707973867,108.96
220,HiRain_Hard_SP,0.9583349,0.661473957,110.272
221,HiRain_Hard_SP,0.943697849,0.625045806,90.496
222,HiRain_Hard_SP,0.919442799,0.499434185,74.976
223,HiRain_Hard_SP,0.937740047,0.566636002,84.256
224,HiRain_Hard_SP,0.944759253,0.580337662,84.256
225,HiRain_Hard_SP,0.949377751,0.614872796,92.256
226,HiRain_Hard_SP,0.948937898,0.625105831,92.096
227,HiRain_Hard_SP,0.936659735,0.5491782,90.816
228,HiRain_Hard_SP,0.949076571,0.60899562,101.408
229,HiRain_Hard_SP,0.945598885,0.586696438,101.248
230,HiRain_Hard_SP,0.944861455,0.599536593,98.944
231,HiRain_Hard_SP,0.963778503,0.701867531,104.32
232,HiRain_Hard_SP,0.962225482,0.689290392,119.424
233,HiRain_Hard_SP,0.959143229,0.670025824,109.12
234,HiRain_Hard_SP,0.958611449,0.669557904,104.448
235,HiRain_Hard_SP,0.95171792,0.641576501,97.472
236,HiRain_Hard_SP,0.944525571,0.601289381,102.144
237,HiRain_Hard_SP,0.944626516,0.612527967,98.784
238,HiRain_Hard_SP,0.94342403,0.619763291,95.456
239,HiRain_Hard_SP,0.970728089,0.760332195,97.184
1,HiRain_SWW_SP,0.92588959,0.514868603,62.464
2,HiRain_SWW_SP,0.934329333,0.546439817,67.712
3,HiRain_SWW_SP,0.960406155,0.669838607,90.496
4,HiRain_SWW_SP,0.949333498,0.603448059,76.992
5,HiRain_SWW_SP,0.938614419,0.55824998,68.288
6,HiRain_SWW_SP,0.930354374,0.542933202,68.576
7,HiRain_SWW_SP,0.939717022,0.573265865,66.688
8,HiRain_SWW_SP,0.945731106,0.601164667,72.48
9,HiRain_SWW_SP,0.937170305,0.575344422,75.104
10,HiRain_SWW_SP,0.950125941,0.622055467,82.816
11,HiRain_SWW_SP,0.950346144,0.617928176,87.008
12,HiRain_SWW_SP,0.94991774,0.630918044,86.304
13,HiRain_SWW_SP,0.932044741,0.55391397,71.904
14,HiRain_SWW_SP,0.956136148,0.6701414,59.552
15,HiRain_SWW_SP,0.947583417,0.62063522,56.96
16,HiRain_SWW_SP,0.955427441,0.650043605,81.792
17,HiRain_SWW_SP,0.961581172,0.687106049,103.296
18,HiRain_SWW_SP,0.954714073,0.646773984,90.368
19,HiRain_SWW_SP,0.953636034,0.637413687,90.496
20,HiRain_SWW_SP,0.941618326,0.589186146,83.104
21,HiRain_SWW_SP,0.954092877,0.649251883,94.592
22,HiRain_SWW_SP,0.936061905,0.54692701,82.816
23,HiRain_SWW_SP,0.951279003,0.631216898,93.856
24,HiRain_SWW_SP,0.938092764,0.56229224,73.376
25,HiRain_SWW_SP,0.951745251,0.624268193,79.904
26,HiRain_SWW_SP,0.951012853,0.61640117,83.232
27,HiRain_SWW_SP,0.936430874,0.554748922,79.456
28,HiRain_SWW_SP,0.949544847,0.611600508,86.304
29,HiRain_SWW_SP,0.963216369,0.686511923,104.16
30,HiRain_SWW_SP,0.948057418,0.599734057,90.816
31,HiRain_SWW_SP,0.956024164,0.65978231,95.008
32,HiRain_SWW_SP,0.955880537,0.655175775,87.168
33,HiRain_SWW_SP,0.950310865,0.628170549,88.768
34,HiRain_SWW_SP,0.952902102,0.62938495,85.12
35,HiRain_SWW_SP,0.95250516,0.629424501,88.608
36,HiRain_SWW_SP,0.951508355,0.633396148,86.72
37,HiRain_SWW_SP,0.9419665,0.594827435,64.512
38,HiRain_SWW_SP,0.955683368,0.644303284,81.216
39,HiRain_SWW_SP,0.960752305,0.676424701,94.144
40,HiRain_SWW_SP,0.969777065,0.746563568,99.52
41,HiRain_SWW_SP,0.964408891,0.704793056,105.184
42,HiRain_SWW_SP,0.962948071,0.704759959,67.712
43,HiRain_SWW_SP,0.951519837,0.665867124,67.104
44,HiRain_SWW_SP,0.960920149,0.703443875,109.408
45,HiRain_SWW_SP,0.952725088,0.632160355,90.496
